video_id,video_title,upload_date,view_count,like_count,favorite_count,comment_count
SVr3jcmYCqI,El Super Increíble Podcast   Lo malo de tener super poderes con Lucho Mellera   EP 33,2019-08-07,45491,1913,0,158
ybhpvLbGbhI,El Super Increíble Podcast   Me leyeron el Tarot   Ep 32,2019-07-31,21478,750,0,107
6ACr4-yL15k,Conversaciones: Problemas migratorios y chismes deportivos con Danielpistola,2019-07-26,37060,834,0,118
8HKIXH7aEMY,El Super Increíble Podcast   Vender agua de baño y lo nuevo de Marvel con Nacho Redondo   EP 31,2019-07-24,94311,3062,0,268
PvS02tXybhY,"Conversaciones: Las imitaciones, la energía y la lectura del pollo con Manuel Silva",2019-07-19,34989,1001,0,130
HtB8-9Wjqu4,El Super Increíble Podcast   La dieta de Katy Perry y el secreto del FaceApp   EP 30,2019-07-17,15268,654,0,79
_sMD8ngMYIc,Especial de Stand Up   El ciclo de la vida   Nanutria,2019-07-14,918772,23670,0,540
ogPyFdpNSQw,Conversaciones: Consejos para visitar Venezuela y el boom de los podcast con Gabo Ruíz,2019-07-12,28785,933,0,178
eH2BncPbX6Q,El Súper Increíble Podcast   El mundo se acaba en 30 años   EP 29,2019-07-10,11370,529,0,83
c_hFugDCiEc,El Súper Increíble Podcast   La tartamudez y la gente que está buena   EP 28,2019-07-03,14684,730,0,169
i_kXrNd-uvc,El Súper Increíble Podcast   La serie de Bolívar y los TOCS   EP 27,2019-06-26,16464,674,0,139
qYFEEn-rV2M,El Súper Increíble Podcast   Soy tío y la Copa América   EP 26,2019-06-19,13278,639,0,113
hd1AnOuFJzk,"Conversaciones: Mascotas, son amigos, hermanos y ¿Parejas? con Jose Rafael Guzmán",2019-06-14,49401,1238,0,187
ugopOXLb2g8,El Súper Increíble Podcast   Los errores ortográficos   EP 25,2019-06-12,13031,565,0,110
CUuMqdjylws,El Súper Increíble Podcast   Las aplicaciones de citas   EP 24,2019-06-05,15318,715,0,99
fRRWRBL0muA,Jugando Fortnite a los 30,2019-05-30,40779,2084,0,92
Zz-AxoA0wJc,El Súper Increíbe Podcast   Vírgenes asesinos y muertes en el Everest con Briceño   EP23,2019-05-29,61403,2787,0,220
Cr1jBW4E6VU,El Súper Increíble Podcast de Nanutria   El final de Game Of Thrones   Bonus,2019-05-20,14426,830,0,88
yo5DzE35kic,Conversaciones: Viviendo de las Webcam con Adriana Delo,2019-05-17,9439,259,0,38
TPuOmIEXJHM,El Súper Increíble Podcast de Nanutria   Me robaron el teléfono   EP 22,2019-05-15,18097,834,0,220
tHfOyUPX0So,El Súper Increíble Podcast de Nanutria   Las reglas del sexting   EP 21,2019-05-08,18315,940,0,155
kYxCu2jXQnE,El Súper Increíble Podcast de Nanutria   La locura de Venezuela   EP 20,2019-05-01,11013,396,0,56
87hnR9AL3bM,Conversaciones: (Des) Educación sexual y algo más con Verónica Gómez,2019-04-26,48399,1713,0,134
uMGDVC3Zz1U,El Súper Increíble Podcast de Nanutria   La cura para la depresión   EP 19,2019-04-24,7710,343,0,54
4fSjo0i-54U,Conversaciones: La vida en las redes sociales con Led Varela,2019-04-19,88168,2663,0,332
9YGdS5ijpuE,El Súper Increíble Podcast de Nanutria   Esotérico y astral   EP 18,2019-04-17,5882,281,0,32
xNwVysTsl3Y,Conversaciones: El invierno llegó y estamos cagados con Nadia María,2019-04-12,9879,351,0,88
9HDpXG8fOrU,El Súper Increíble Podcast de Nanutria   Meter cosas en el cine   EP 17,2019-04-10,6492,283,0,38
akg7RG76Coo,El Súper Increíble Podcast de Nanutria   Avengers   EP 16,2019-04-03,6717,302,0,46
